,year,artist,song,points,duration
200,1960,Jim Reeves,He'll Have To Go,3366,138.64
201,1960,Brenda Lee,I'm Sorry,3470,157.524
202,1960,Percy Faith And His Orchestra,"The Theme From ""A Summer Place""",3536,142.693
203,1960,Connie Stevens,Sixteen Reasons,3559,118.133
204,1960,Elvis Presley With The Jordanaires,It's Now Or Never,3629,193.906
205,1960,Brenda Lee,Sweet Nothin's,3635,144.6
206,1960,Hank Ballard And The Midnighters,Finger Poppin' Time,3673,154.746
207,1960,Chubby Checker,The Twist,3698,155.04
208,1960,The Brothers Four,Greenfields,3726,182.026
209,1960,Connie Francis,Everybody's Somebody's Fool,3735,157.88
210,1960,Hank Locklin,"Please Help Me, I'm Falling",3740,144.866
211,1960,Roy Orbison,Only The Lonely (Know How I Feel),3746,232.533
212,1960,Connie Francis,My Heart Has A Mind Of Its Own,3827,152.266
213,1960,Ferrante & Teicher,Theme From The Apartment,3848,181.022
214,1960,Jimmy Jones,Handy Man,3850,196.8
215,1960,The Drifters,Save The Last Dance For Me,3854,154.96
216,1960,The Ventures,Walk -- Don't Run,3866,122.933
217,1960,The Everly Brothers,Cathy's Clown,3892,145.933
218,1960,Johnny Horton,Sink The Bismark,3907,194.4
219,1960,Ron Holden with The Thunderbirds,Love You So,3934,160.239
220,1960,Mark Dinning,Teen Angel,3936,161.826
221,1960,Donnie Brooks,Mission Bell,3948,219.72
222,1960,Bobby Rydell,Wild One,3957,232.946
223,1960,Sam Cooke,Chain Gang,3958,155.173
224,1960,The Fendermen,Mule Skinner Blues,3959,188.266
225,1960,Brook Benton,Kiddio,3959,191.253
226,1960,Elvis Presley With The Jordanaires,Stuck On You,3975,205.205
227,1960,Bobby Vee,Devil Or Angel,3992,146.933
228,1960,Jackie Wilson,Night,4002,172.253
229,1960,Johnny Preston,Running Bear,4003,165.893
230,1960,Jack Scott,What In The World's Come Over You,4006,173.266
231,1960,Brian Hyland,Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,4011,143.733
232,1960,Hollywood Argyles,Alley-Oop,4027,152.186
233,1960,Brenda Lee,I Want To Be Wanted,4033,185.96
234,1960,Jack Scott,Burning Bridges,4033,164.28
235,1960,Anita Bryant,Paper Roses,4045,158.973
236,1960,Billy Bland,Let The Little Girl Dance,4058,143.333
237,1960,Safaris with The Phantom's Band,Image Of A Girl,4059,162.266
